Year,Quarter,Country,Industry,Export_USD_Million,Import_USD_Million,Avg_Export_Price_USD,Avg_Import_Price_USD
2020,Q1,China,Electronics,21500,43000,230,450
2020,Q1,EU,Poultry,2850,1880,140,190
2020,Q1,Mexico,Auto,14200,26100,11600,14900
2021,Q2,China,Electronics,22700,41500,240,420
2021,Q2,EU,Poultry,2950,2010,145,200
2021,Q2,Mexico,Auto,15100,27000,12000,15150
2022,Q3,China,Electronics,23200,40200,246,412
2022,Q3,EU,Poultry,2990,1980,152,191
2022,Q3,Mexico,Auto,15800,28300,12550,15330
2023,Q4,China,Electronics,20500,37900,261,385
2023,Q4,EU,Poultry,2810,2080,146,186
2023,Q4,Mexico,Auto,16900,30500,13100,15700
2024,Q2,China,Electronics,19300,35000,271,368
2024,Q2,EU,Poultry,2760,2100,151,188
2024,Q2,Mexico,Auto,16200,31200,13750,15860
2024,Q4,China,Electronics,17600,33600,285,362
2024,Q4,EU,Poultry,2680,2150,153,186
2024,Q4,Mexico,Auto,15400,31700,14320,15900
