Year,Quarter,Country,Industry,Export_USD_Million,Import_USD_Million
2020,Q1,China,Electronics,21000,42000
2020,Q1,Mexico,Auto,15000,27800
2020,Q1,EU,Pharma,7500,13200
2020,Q2,China,Electronics,18500,41000
2020,Q2,Mexico,Auto,14000,26100
2020,Q2,EU,Pharma,8100,13700
2020,Q3,China,Electronics,22200,42500
2020,Q3,Mexico,Auto,16000,28500
2020,Q3,EU,Pharma,7900,14600
...
2023,Q4,China,Electronics,24000,35500
2023,Q4,Mexico,Auto,19900,31500
2023,Q4,EU,Pharma,9400,15800
2024,Q1,China,Electronics,23500,35000
2024,Q1,Mexico,Auto,19100,30500
2024,Q1,EU,Pharma,10000,16200
2024,Q2,China,Electronics,22800,34700
2024,Q2,Mexico,Auto,18200,29800
2024,Q2,EU,Pharma,10200,16600
2024,Q3,China,Electronics,21900,34000
2024,Q3,Mexico,Auto,17500,29100
2024,Q3,EU,Pharma,10700,16800
2024,Q4,China,Electronics,21000,33200
2024,Q4,Mexico,Auto,17000,28500
2024,Q4,EU,Pharma,11100,17000
